"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Arcole";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3578333";"11.2856481";
"Cologna Veneta";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3112592";"11.3854814";
"Albaredo d'Adige";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3179030";"11.2753029";
"Zimella";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3656644";"11.3392991";
"Veronella";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3231335";"11.3245387";
"Zevio";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3756072";"11.1371919";
"Belfiore d'Adige";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3832962";"11.2106481";
"Caldiero";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4153148";"11.1784444";
"San Bonifacio";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3962331";"11.2702317";
"Soave";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4220370";"11.2476666";
"Cologna ai Colli";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4347037";"11.1853148";
"Monteforte d'Alpone";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4182962";"11.2848703";
"Lavagno";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4397037";"11.1351666";
"Pressana";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.2854302";"11.4051234";
"Roveredo di Guà";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.2740740";"11.4453333";
"San Martino Buon Albergo";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4222409";"11.0933924";
"Lonigo";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3880142";"11.3881105";
"Sarego";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.4074536";"11.4050722";
"Alonte";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3668888";"11.4281296";
"Orgiano";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3489259";"11.4642407";
"Sossano";"Arcole";"D. M. 02/11/2006";"n. 267 del 16/11/2006";"45.3612592";"11.5131481";
"Agna";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.1697474";"11.9604008";
"Arre";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2190740";"11.9253333";
