"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Marano di Valpolicella";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5560930";"10.9154370";
"Fumane";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5406030";"10.8857600";
"Negrar";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5306253";"10.9383009";
"Sant Ambrogio di Valpolicella";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5218888";"10.8373703";
"San Pietro in Cariano";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5212592";"10.8840740";
"Dolce";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.6017407";"10.8536111";
"Verona";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4420061";"10.9954850";
"San Martino Buon Albergo";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4222409";"11.0933924";
"Lavagno";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4397037";"11.1351666";
"Mezzane di Sotto";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4823290";"11.1289612";
"Tregnago";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5145200";"11.1646240";
"Illasi";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4681296";"11.1834444";
"Colognola ai Colli";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4347037";"11.1853148";
"Cazzano di Tramigna";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4739960";"11.2031520";
"Grezzana";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5198110";"11.0171750";
"Pescantina";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4827249";"10.8675485";
"Cerro Veronese";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5754489";"11.0426787";
"San Mauro di Saline";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5654546";"11.1128957";
"Montecchia di Crosara";"Amarone Valpolicella";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4854814";"11.2554814";
"Marano di Valpolicella";"Amarone Valpolicella Classico";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5560930";"10.9154370";
"Fumane";"Amarone Valpolicella Classico";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5406030";"10.8857600";
"Negrar";"Amarone Valpolicella Classico";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5306253";"10.9383009";
"Sant Ambrogio di Valpolicella";"Amarone Valpolicella Classico";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5218888";"10.8373703";
"San Pietro in Cariano";"Amarone Valpolicella Classico";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5212592";"10.8840740";
"Grezzana";"Amarone Valpolicella Valpantena";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.5198110";"11.0171750";
"Verona";"Amarone Valpolicella Valpantena";"D. M. 24/03/2010";"n. 85 del 13/04/2010";"45.4420061";"10.9954850";
"Bardolino";"Bardolino Superiore";"D. M. 08/01/2011";"n. 275 del 25/11/2011";"45.5475580";"10.7210038";
"Garda";"Bardolino Superiore";"D. M. 08/01/2011";"n. 275 del 25/11/2011";"45.5746483";"10.7077081";
"Lazise";"Bardolino Superiore";"D. M. 08/01/2011";"n. 275 del 25/11/2011";"45.5052821";"10.7325905";
