Comune;Vino;Atto;Gazzetta Ufficiale;Latitudine;Longitudine
Abano Terme;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.360542;11.7893806
Affi;Bardolino, Bardolino Superiore, Bardolino Superiore Classico;D. M. 08/11/2011;n. 274 del 24/11/2011;45.5529314;10.7787311
Agna;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.1697474;11.9604008
Agordo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.282317;12.03441
Agugliaro;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3264259;11.5853333
Alano di Piave;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9078316;11.9095441
Albaredo d Adige;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.317903;11.2753029
Albettone;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.3578148;11.5828148
Albignasego;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.3484444;11.8682962
Alleghe;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.407347;12.0253208
Alonte;Arcole, Colli Berici, Prosecco, Vicenza;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3668888;11.4281296
Altavilla Vicentina;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.511935;11.460371
Altissimo;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6153968;11.2526787
Altivole;Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7547037;11.9573703
Anguillara Veneta;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1393886;11.8890378
Annone Veneto;Lison, Lison Classico, Lison-Pramaggiore, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.794099;12.683527
Arcade;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.784537;12.2228333
Arcole;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3578333;11.2856481
Arcugnano;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4951612;11.5514699
Arqua Petrarca;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.2700515;11.7167922
Arre;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.219074;11.9253333
Arsie;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.9839074;11.7593888
Arsiero;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8039259;11.3553333
Arzergrande;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2737592;12.0528333
Arzignano;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5193876;11.339584
Asiago;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.8761111;11.5087777
Asigliano Veneto;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.3056296;11.4475185
Asolo;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.7932962;11.9128333
Auronzo di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.5512013;12.4432048
Azzano Decimo;Lison;D. M. 22/12/2010;n. 4 del 07/01/2011;45.881753;12.714705
Badia Calavena;Monti Lessini;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5673518;11.1537777
Bagnoli di Sopra;Friularo di Bagnoli, Friularo di Bagnoli Classico, Prosecco;D. M. 08/11/2011;n. 276 del 26/11/2011;45.1886111;11.8859444
Baone;Colli Euganei, Colli Euganei Fior D Arancio, Prosecco;D. M. 22/12/2010;n. 4 del 07/01/2011;45.244537;11.6892407
Barbarano Vicentino;Colli Berici, Prosecco, Vicenza;D. M. 18/09/2000;n. 225 del 26/09/2000;45.4092849;11.542238
Barbona;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1033706;11.7030524
Bardolino;Bardolino, Bardolino Superiore, Bardolino Superiore Classico;D. M. 08/11/2011;n. 274 del 24/11/2011;45.547558;10.7210038
Bassano del Grappa;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.766608;11.7339608
Battaglia Terme;Bagnoli, Colli Euganei, Collie Euganei Fior D Arancio, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2881296;11.7931296
Belfiore d'Adige;Arcole;D. M. 02/11/2006;n. 267 del 16/11/2006;45.3832962;11.2106481
Belluno;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.1399645;12.2175906
Bevilacqua;Merlara;D. M. 21/04/2007;n. 102 del 05/05/2009;45.2328333;11.3936111
Boara Pisani;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.1067229;11.783853
Bolzano Vicentino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6027979;11.623102
Borca di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.4373518;12.2206296
Borgoricco;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.5362777;11.9422037
Borso del Grappa;Montello Rosso, Prosecco, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.82077;11.796086
Boschi Sant Anna;Merlara;D. M. 21/04/2007;n. 102 del 05/05/2009;45.2187777;11.3573703
Bovolenta;Bagnoli, Friularo di Bagnoli, Prosecco;D. M. 08/11/2011;n. 273 del 23/11/2011;45.2720443;11.9370378
Breda di Piave;Piave, Piave Malanotte, Prosecco, Venezia;D. M. 22/12/2010;n. 4 del 07/01/2011;45.7248518;12.3337777
Breganze;Breganze, Prosecco, Vicenza;D. M. 01/08/2008;n. 196 del 22/08/2008;45.7080607;11.5647946
Brendola;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.4724113;11.4461293
Brentino Belluno;Terradeiforti, Valdadige;D. M. 24/05/2010;n. 141 del 19*06/2010;45.6583447;10.8942082
Bressanvido;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6442671;11.6314917
Brogliano;Monti Lessini, Prosecco, Vicenza;D. M. 08/11/2011;n. 272 del 22/11/2011;45.5890414;11.367053
Brugine;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.2975;11.9962777
Bussolengo;Bardolino, Bardolino Superiore, Bianco di Custoza;D. M. 08/11/2011;n. 274 del 24/11/2011;45.4745577;10.8464106
Cadoneghe;Prosecco, Riviera del Brenta;D. M. 15/10/2010;n. 263 del 10/11/2010;45.4481543;11.9092375
Caerano di San Marco;Colli Asolani Prosecco, Montello - Colli Asolani, Montello Rosso, Prosecco, Venezia;D. M. 13/10/2011;n. 248 del 24/10/2011;45.7862777;12.0039259
Calalzo di Cadore;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;46.447225;12.383618
Caldiero;Arcole, Recioto Soave, Soave, Soave Superiore;D. M. 02/11/2006;n. 267 del 16/11/2006;45.4153148;11.1784444
Caldogno;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.6087592;11.5039259
Caltrano;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7743815;11.4530195
Calvene;Prosecco, Vicenza;D. M. 15/10/2010;n. 263 del 10/11/2010;45.7686559;11.5147115
Camisano Vicentino;Prosecco;D. M. 15/10/2010;n. 263 del 10/11/2010;45.518037;11.708508
Campagna Lupia;Prosecco, Riviera del Brenta, Venezia;D. M. 15/10/2010;n. 263 del 10/11/2010;45.355824;12.096281
Campiglia dei Berici;Colli Berici, Prosecco, Vicenza;D. M. 08/10/2009;n. 246 del 22/10/2009;45.3357962;11.5434444
